school_name,city,state,zip_code,latitude,longitude,endowment_begin,endowment_end,endowment_diff
Southern California Institute of Architecture,Los Angeles,CA,90013-1822,34.044215,-118.232799,5947000,5221000,-726000
University of Southern California,Los Angeles,CA,90089,34.021281,-118.284169,8126222000,7400081000,-726141000
Southwestern Law School,Los Angeles,CA,90010-1106,34.061558,-118.288375,27638116,23384250,-4253866
Taft College,Taft,CA,93268,35.149343,-119.459751,2437249,2430412,-6837
Claremont School of Theology,Claremont,CA,91711-3199,34.107602,-117.715256,13457565,10518652,-2938913
Thomas Aquinas College,Santa Paula,CA,93060,34.429009,-119.087141,32002602,29370705,-2631897
The Colleges of Law at Ventura,Ventura,CA,93003,34.25747,-119.232988,1679750,1525447,-154303
Westminster Theological Seminary in California,Escondido,CA,92027,33.121447,-117.046371,721383,799383,78000
Westmont College,Santa Barbara,CA,93108-1089,34.450151,-119.662517,95147951,94513072,-634879
Whittier College,Whittier,CA,90601,33.978773,-118.032299,143477085,126453835,-17023250
Woodbury University,Burbank,CA,91504-1052,34.208011,-118.341147,23307341,19155677,-4151664
The Wright Institute,Berkeley,CA,94704-1796,37.868221,-122.253168,11986036,13532466,1546430
Thomas Jefferson School of Law,San Diego,CA,92101,32.717595,-117.157862,163685,163686,1
Adams State University,Alamosa,CO,81101,37.473636,-105.879642,62673,62674,1
Aims Community College,Greeley,CO,80634,40.409559,-104.763415,5216091,5202928,-13163
Colorado Christian University,Lakewood,CO,80226,39.71388,-105.09456,6710503,6129395,-581108
Colorado College,Colorado Springs,CO,80903,38.84886,-104.822697,908636719,822930608,-85706111
Colorado Mountain College,Glenwood Springs,CO,81601-0233,39.54636,-107.324441,20893517,18291178,-2602339
Colorado School of Mines,Golden,CO,80401,39.751443,-105.223364,359223868,322221638,-37002230
Colorado State University-Fort Collins,Fort Collins,CO,80523-0100,40.574805,-105.080732,578090016,549312222,-28777794
Community College of Aurora,Aurora,CO,80011-9036,39.71788,-104.802673,1083938,940439,-143499
Denver Seminary,Littleton,CO,80120,39.600595,-105.022363,15599879,14413896,-1185983
University of Denver,Denver,CO,80208,39.678005,-104.963259,1039771673,990340196,-49431477
Fort Lewis College,Durango,CO,81301-3999,37.275939,-107.867422,14817348,15010898,193550
Front Range Community College,Westminster,CO,80031,39.901452,-105.038068,1634315,1917405,283090
Iliff School of Theology,Denver,CO,80210-4798,39.675927,-104.960657,49423844,43236821,-6187023
